agent,frame,n_cases,n_adequate,pct_of_all,n_tested,pct_of_tested,n_undetermined,pct_undetermined,n_inadequate,n_intermediate_only,cfg_fingerprint,source,frame_definition
meropenem,A_entero_all_cohort_3104,3104,3042,98.0,3055,99.6,49,1.6,12,1,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
piperacillin-tazobactam,A_entero_all_cohort_3104,3104,2833,91.3,2982,95.0,122,3.9,88,61,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
gentamicin,A_entero_all_cohort_3104,3104,2714,87.4,3065,88.5,39,1.3,319,32,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
ceftazidime,A_entero_all_cohort_3104,3104,2697,86.9,3069,87.9,35,1.1,296,76,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
cefepime,A_entero_all_cohort_3104,3104,2692,86.7,3057,88.1,47,1.5,332,33,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
ceftriaxone,A_entero_all_cohort_3104,3104,2595,83.6,3084,84.1,20,0.6,470,19,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
trimethoprim-sulfamethoxazole,A_entero_all_cohort_3104,3104,2262,72.9,3076,73.5,28,0.9,814,0,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
ciprofloxacin,A_entero_all_cohort_3104,3104,2259,72.8,3084,73.2,20,0.6,777,48,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
cefazolin,A_entero_all_cohort_3104,3104,1887,60.8,2505,75.3,599,19.3,597,21,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
ampicillin-sulbactam,A_entero_all_cohort_3104,3104,1564,50.4,2586,60.5,518,16.7,628,394,04ce311c2b13,recomputed_18Aug2026_cc_floor_reconcile.py,"every pathogenic isolate Enterobacterales; frozen cohort 7,796; NO admission-link gate; NO prior-therapy gate"
