n,tier,register_status,provenance,title,authors,venue,year,identifier,pmid,pmcid,verification,source,correction,novelty_risk
1,TIER 1,VERIFIED,PROJECT,When Correct Beliefs Collapse: Epistemic Resilience of LLMs under Clinical Pressure,"Xiao B, Tian X, Song X, Wang H, Song G, Zhao S, Qin B",arXiv (accepted ACL 2026),2026.0,arXiv:2605.23932,,,VERIFIED,arXiv API,"Register omits ACL 2026 acceptance - cite as ACL 2026, not preprint. Four attack sub-types and five metric acronyms (IDC/MR@i/BSP/BRS/VCR) not in abstract; confirm from full text before relying on the taxonomy mapping.","HIGH - already names the knowledge-robustness gap, and proposes two mitigations (RBED inference-time defence, R-FT fine-tuning) the register does not record. Gap itself is not your novelty; laboratory ground truth and EDI are."
2,TIER 1,VERIFIED,PROJECT,Machine learning and clinician predictions of antibiotic resistance in Enterobacterales bloodstream infections,"Yuan K, Luk A, Wei J, Walker AS, Zhu T, Eyre DW",Journal of Infection,2024.0,10.1016/j.jinf.2024.106388,39742978.0,PMC11893473,VERIFIED,PubMed,"Register says '90(2):106388, February 2025'; PubMed publication date is 2024-12-30 (online first). Cite the DOI. Confirm the 0.723-0.827 with-species AUC range from full text (PMC open).","MEDIUM - already compares model predictions BOTH to final microbiology and to clinician prescribing. Your novelty is the LLM substitution plus pressure, not the two-way comparison."
3,TIER 1,VERIFIED,ZHU,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial",Agweyu A; Mwaniki P; Menon V; Korom R; Isaaka L; Wanyama C; Gill J; Kiptinness S; Adan N; Emmanuel-Fabula M; Riley RD; Archer L; Denniston AK; Liu X; Mateen BA,Nature Medicine,2026.0,10.1038/s41591-026-04503-6,42362867.0,PMC13472850,VERIFIED,PubMed,"Register role note ('randomised evidence that benchmark capability does not transfer') overstates a null result. Raw rates 2.2% vs 2.0% favour control; adjusted OR 0.77 (0.55-1.08) P=0.13 favours intervention. Say 'did not demonstrate benefit', not 'does not transfer'. | 18 Aug: complete 15-author list retrieved from Crossref; register held a truncated form ((15 authors)...).","NONE - motivating evidence, not competing work."
4,TIER 1,LINK-ONLY,ZHU,Evaluating the robustness and readiness of large frontier models in health AI applications,Gu Y; Fu J; Liu X; Valanarasu JMJ; Codella NCF; Tan R; Liu Q; Jin Y; Zhang S; Wang J; Wang R; Song L; Qin G; Usuyama N; Wong C; Cheng H; Lee H; Sanapathi P; Hilado S; Naumann T; Alvarez-Valle J; Bian J; Wei M; Malik K; Zhou L; Gao J; Horvitz E; Lungren MP; Burger D; Topol E; Poon H; Vozila P,Nature Medicine,2026.0,10.1038/s41591-026-04501-8,42362863.0,,VERIFIED,PubMed title search,RESOLVED from share.google redirect - one of the register's seven unidentified items. Promote LINK-ONLY to VERIFIED. | 18 Aug: full 32-author list retrieved from Crossref; row now carries complete bibliographic detail.,TBC - register says it names the robustness taxonomy this project instantiates.
5,TIER 1,VERIFIED,PROJECT,Explainability in the age of large language models for healthcare,"Mesinovic M, Watkinson P, Zhu T",Communications Engineering,2025.0,10.1038/s44172-025-00453-y,40676176.0,,VERIFIED,PubMed title search,"Register cites '4:128 (2025)'; DOI and PMID confirmed, verify volume/article number before bibliography.","NONE - supervisor position paper; align, do not contradict."
6,TIER 1,LINK-ONLY,PROJECT,MedPRESS: A Multi-turn Benchmark for Patient-Pressure-Induced Medical Sycophancy in LLMs,"Joy SS, Farhan N",arXiv,2026.0,arXiv:2608.02520,,,VERIFIED,arXiv API,"27 pages, 10 figures; equal contribution. Register numbers (600 five-turn dialogues, three scenario families, 20 models) all confirmed.","HIGH - patient-pressure sycophancy is established. Differentiator is clinician-authority pressure with laboratory ground truth, not patient pressure."
7,TIER 1,VERIFIED,PROJECT,Are You Sure? Challenging LLMs Leads to Performance Drops in The FlipFlop Experiment,"Laban P, Murakhovs'ka L, Xiong C, Wu C-S",arXiv,2023.0,arXiv:2311.08596,,,VERIFIED,arXiv API,v2 (Feb 2024) is current. Register's 46% flip rate and 17% accuracy drop confirmed. Register omits that finetuning cut deterioration by 60% without resolving it.,MEDIUM - closest precedent for the Cn neutral control; differentiate explicitly.
8,TIER 1,VERIFIED,PROJECT,Measuring Epistemic Resilience of LLMs Under Misleading Medical Context,Hongjian Zhou; Xinyu Zou; Jinge Wu; Sean Wu; Junchi Yu; Bradley Max Segal; Tobias Erich Niebuhr; Sara Amro; Michael Petrus; Sheikh Momin; Alexandra M. Cardoso Pinto; Rachel Niesen; Laura Sophie Wegner; Dhruv Darji; Jung Moses Koo; Joshua Fieggen; Kapil Narain; Mingde Zeng; Lei Clifton; Linda Shapiro; Fenglin Liu; David A. Clifton,arXiv,2026.0,arXiv:2606.12291,,,VERIFIED,arXiv API,"v2 (15 Jun 2026) current. Introduces MedMisBench: 10,932 items, 48,889 misleading context-option pairs, 11 configurations; accuracy 71.1% -> 38.0%, 51.5% attack success; authority-framed falsehoods 69.5%, exception-poisoning 64.1%; 14-member clinical panel from 7 countries found serious potential harm in 38.2% reviewed. Register records none of these numbers. | 18 Aug: complete 22-author list retrieved from arXiv; register held a truncated form (Zhou H, Zou X, Wu J, ... Clifton L, Shap...).","HIGH - Oxford/Clifton group, mandatory local citation. Single-turn injection, not multi-turn pressure: that is your differentiator and it is narrow."
9,TIER 1,VERIFIED,MUNIB,Lessons from deploying the ChatEHR system at Stanford Medicine,"Shah NH, Sehgal N, Ashley EA, Pfeffer MA",Nature Medicine,2026.0,10.1038/s41591-026-04574-5,,,VERIFIED,OpenAlex,"Confirmed 10 Aug 2026, 4 authors. Not PubMed-indexed yet; abstract not reconstructable (license undeclared) - read at DOI before quoting specifics.",NONE - deployment-experience evidence for the evaluation-insufficiency spine.
10,TIER 1,VERIFIED,ZHU,Capable language models can outgrow the benefits of collaboration,Kim Y; Gu K; Park C; Park C; Schmidgall S; Heydari AA; Yan Y; Zhang Z; Zhuang Y; Liu Y; Malhotra M; Liang PP; Won Park H; Yang Y; Xu X; Du Y; Patel S; Althoff T; McDuff D; Liu X,Nature Machine Intelligence 8:1157-1172,2026.0,10.1038/s42256-026-01268-y,,,VERIFIED,OpenAlex,"FULL TEXT READ 18 Aug 2026 - all register claims CONFIRMED: 260 controlled configurations, six benchmarks, five architectures, three LLM families; performance change vs single-agent baseline spans +80.8% (Finance Agent, centralized, 0.631 vs SAS 0.349) to -70.0% (PlanCraft, independent, 0.170 vs SAS 0.568). Register OMITS the load-bearing detail: the capability-saturation threshold is ~45% single-agent baseline accuracy, predicts the SIGN of multi-agent gain in 94% of 16 validation configurations, and the authors explicitly present it as 'a practical selection rule rather than a universal scaling principle' because the baseline-by-team-size interaction does not survive cluster-robust correction. Cross-validated R2=0.373 (0.413 with task-grounded capability metric). Single-agent baseline coefficient p_robust=0.004, p_Holm=0.018. | 18 Aug: complete 20-author list retrieved from Crossref; register held a truncated form (Kim Y, Gu K, Park C, Park C, Schmidgall ...).","NONE as competing work. DIRECTION OF THE RULE, stated correctly: the ~45% figure is a capability-saturation threshold BEYOND which additional agents are unlikely to improve performance. So if Qwen3-4B's single-model adequacy on this task lands ABOVE ~45%, the paper predicts the debate arm is UNLIKELY to beat the single-agent baseline; if BELOW ~45%, coordination may still help. Either way the budget-matched single-agent control is what makes the comparison interpretable - it is the quantity the threshold is defined on. Do not assert a direction before the measured baseline exists. Quote the authors' own caveat if pushed: they present it as 'a practical selection rule rather than a universal scaling principle' because the baseline-by-team-size interaction does not survive cluster-robust correction."
